,Point,Pass,DontPass,betName,betAmt,Q,N
0,6,0,5,snakeeyes,5,-2.9310344827586197,174
1,7,0,5,None,0,-5.0,3488
2,9,0,5,dontCome,5,0.09345794392523327,107
3,6,5,0,buy4,5,-3.15625,8
4,4,5,0,place6,5,-1.747967479674795,41
5,7,5,0,None,0,5.0,2903
6,2,5,0,None,0,-5.0,497
7,3,5,0,None,0,-5.0,987
8,3,0,5,None,0,5.0,1231
9,6,5,0,horn,5,-0.6666666666666666,15
10,9,5,0,hiLo,5,-2.181818181818182,55
11,9,0,5,boxcars,5,3.260869565217393,115
12,5,0,5,hiLo,5,-0.8333333333333333,60
13,11,5,0,None,0,5.0,1018
14,6,0,5,dontCome,5,0.7692307692307693,104
15,8,0,5,place6,5,2.1031746031746046,42
16,8,0,5,snakeeyes,5,0.030674846625767048,163
17,8,0,5,hiLo,5,0.7563025210084031,119
18,6,5,0,aceDuece,5,-3.3333333333333335,81
19,12,0,5,None,0,5.0,622
20,5,5,0,yoleven,5,3.4782608695652164,46
21,5,5,0,hard4,5,-2.307692307692308,13
22,6,0,5,place8,5,-0.28368794326241076,47
23,5,0,5,yoleven,5,-4.931506849315069,73
24,5,0,5,boxcars,5,-2.330508474576272,118
25,6,5,0,hard6,5,-2.0253164556962027,79
26,10,5,0,snakeeyes,5,0.6716417910447767,67
27,8,5,0,buy8,5,1.173076923076923,26
28,4,5,0,comeOdds,5,-1.6666666666666665,9
29,4,0,5,dontCome,5,4.680851063829788,94
30,8,0,5,yoleven,5,-1.3265306122448979,98
31,5,5,0,hard8,5,-1.9318181818181819,88
32,10,5,0,yoleven,5,-3.1999999999999993,25
33,9,0,5,buy8,5,2.764705882352941,51
34,10,0,5,hard6,5,1.5714285714285718,70
35,6,5,0,yoleven,5,-0.27777777777777773,108
36,6,5,0,boxcars,5,-2.5233644859813085,107
37,5,5,0,boxcars,5,0.21978021978021992,91
38,10,5,0,horn,5,2.916666666666666,3
39,10,5,0,place9,5,3.1666666666666665,12
40,8,5,0,hard8,5,-1.2328767123287672,73
41,10,0,5,yoleven,5,8.974358974358974,39
42,6,5,0,snakeeyes,5,2.7898550724637694,138
43,4,0,5,boxcars,5,3.103448275862068,58
44,12,5,0,None,0,-5.0,483
45,2,0,5,None,0,5.0,633
46,9,0,5,hard8,5,-1.1392405063291138,79
47,5,0,5,dontCome,5,2.9268292682926824,82
48,8,5,0,boxcars,5,-2.3928571428571432,140
49,8,5,0,aceDuece,5,-2.272727272727273,88
50,4,0,5,hard6,5,3.924050632911393,79
51,9,5,0,big8,5,-2.7272727272727275,11
52,6,0,5,dontComeOdds,5,0.4047619047619054,35
53,6,0,5,hard10,5,-3.1578947368421053,19
54,9,5,0,boxcars,5,1.1904761904761905,84
55,9,5,0,buy6,5,-0.07051282051282048,39
56,10,0,5,aceDuece,5,4.583333333333334,24
57,8,0,5,horn,5,3.3928571428571423,28
58,8,0,5,boxcars,5,-1.420765027322404,183
59,9,5,0,hard8,5,-0.1694915254237285,59
60,6,5,0,place8,5,-0.8991228070175429,38
61,6,5,0,hiLo,5,-0.28169014084507016,71
62,9,5,0,hard4,5,-6.842105263157894,19
63,6,0,5,buy8,5,1.3452380952380956,42
64,4,0,5,place8,5,1.3333333333333344,45
65,11,0,5,None,0,-5.0,1221
66,9,0,5,hard6,5,4.444444444444444,90
67,9,5,0,place6,5,-1.0034013605442165,49
68,5,0,5,dontPassOdds,5,3.749999999999999,8
69,5,0,5,snakeeyes,5,5.840336134453779,119
70,5,5,0,buy8,5,-3.0812499999999994,40
71,6,5,0,big6,5,-0.588235294117647,17
72,4,5,0,buy8,5,-1.587837837837838,37
73,5,0,5,buy8,5,0.28846153846153844,39
74,9,0,5,place6,5,1.5404040404040416,33
75,10,0,5,buy6,5,0.062499999999999334,44
76,10,5,0,hard6,5,-2.4999999999999987,64
77,9,5,0,hard6,5,-4.428571428571429,70
78,6,0,5,boxcars,5,0.21276595744680848,188
79,6,0,5,dontPassOdds,5,-1.8910256410256407,26
80,6,0,5,bigRed,5,-3.684210526315789,19
81,8,5,0,place8,5,-3.055555555555554,33
82,4,5,0,boxcars,5,-3.58695652173913,46
83,8,0,5,aceDuece,5,2.7586206896551713,87
84,6,0,5,buy5,5,-0.09090909090909094,11
85,8,5,0,place6,5,-0.6249999999999989,36
86,9,0,5,aceDuece,5,2.542372881355932,59
87,4,0,5,hard8,5,5.058823529411766,85
88,6,0,5,aceDuece,5,0.21505376344086075,93
89,5,0,5,bigRed,5,1.5384615384615383,13
90,10,0,5,hard4,5,-4.285714285714286,14
91,4,5,0,hard6,5,-3.3846153846153855,65
92,6,5,0,lay8,5,-5.0,2
93,4,0,5,buy5,5,1.12,25
94,10,0,5,snakeeyes,5,11.47058823529412,51
95,4,0,5,place6,5,3.7681159420289867,46
96,10,5,0,big8,5,-1.8749999999999998,16
97,9,5,0,hard10,5,-5.833333333333334,12
98,4,0,5,snakeeyes,5,-1.0655737704918034,61
99,6,5,0,None,0,-0.2380952380952382,21
100,4,0,5,buy8,5,1.6918604651162787,43
101,10,0,5,dontCome,5,2.6605504587155964,109
