,Unnamed: 0,Point,Pass,DontPass,betName,betAmt,Q,N
0,0.0,6,0,5,snakeeyes,5,7.333721024872242e-16,342
1,1.0,7,0,5,None,0,-5.0,6545
2,2.0,9,0,5,dontCome,5,0.6951871657754005,187
3,3.0,6,5,0,buy4,5,-3.15625,8
4,4.0,4,5,0,place6,5,1.7486012637846216e-15,74
5,5.0,7,5,0,None,0,5.0,5293
6,6.0,2,5,0,None,0,-5.0,925
7,7.0,3,5,0,None,0,-5.0,1856
8,8.0,3,0,5,None,0,5.0,2299
9,9.0,6,5,0,horn,5,-1.2499999999999998,32
10,10.0,9,5,0,hiLo,5,-1.1764705882352933,102
11,11.0,9,0,5,boxcars,5,0.7692307692307705,221
12,12.0,5,0,5,hiLo,5,-0.8256880733944961,109
13,13.0,11,5,0,None,0,5.0,1841
14,14.0,6,0,5,dontCome,5,0.5882352941176472,187
15,15.0,8,0,5,place6,5,0.7575757575757587,77
16,16.0,8,0,5,snakeeyes,5,-1.5465465465465467,333
17,17.0,8,0,5,hiLo,5,1.0454545454545454,220
18,18.0,6,5,0,aceDuece,5,-3.7974683544303796,158
19,19.0,12,0,5,None,0,5.0,1153
20,20.0,5,5,0,yoleven,5,-0.515463917525774,97
21,21.0,5,5,0,hard4,5,-2.0,25
22,22.0,6,0,5,place8,5,1.0394265232974917,93
23,23.0,5,0,5,yoleven,5,-2.063492063492064,126
24,24.0,5,0,5,boxcars,5,-1.8028846153846154,208
25,25.0,6,5,0,hard6,5,-2.4113475177304973,141
26,26.0,10,5,0,snakeeyes,5,-1.171171171171171,111
27,27.0,8,5,0,buy8,5,-0.87,50
28,28.0,4,5,0,comeOdds,5,0.9375000000000001,16
29,29.0,4,0,5,dontCome,5,4.070351758793969,199
30,30.0,8,0,5,yoleven,5,-1.3541666666666667,192
31,31.0,5,5,0,hard8,5,-2.4305555555555554,144
32,32.0,10,5,0,yoleven,5,-5.555555555555555,45
33,33.0,9,0,5,buy8,5,1.9166666666666665,93
34,34.0,10,0,5,hard6,5,1.5827338129496407,139
35,35.0,6,5,0,yoleven,5,-1.4736842105263155,190
36,36.0,6,5,0,boxcars,5,-2.6200873362445427,229
37,37.0,5,5,0,boxcars,5,-1.7251461988304095,171
38,38.0,10,5,0,horn,5,4.583333333333334,6
39,39.0,10,5,0,place9,5,1.9047619047619047,21
40,40.0,8,5,0,hard8,5,-1.4728682170542635,129
41,41.0,10,0,5,yoleven,5,5.967741935483871,62
42,42.0,6,5,0,snakeeyes,5,0.13257575757575768,264
43,43.0,4,0,5,boxcars,5,-0.25000000000000044,120
44,44.0,12,5,0,None,0,-5.0,939
45,45.0,2,0,5,None,0,5.0,1143
46,46.0,9,0,5,hard8,5,0.8552631578947372,152
47,47.0,5,0,5,dontCome,5,1.9540229885057478,174
48,48.0,8,5,0,boxcars,5,-2.821011673151753,257
49,49.0,8,5,0,aceDuece,5,-1.3580246913580256,162
50,50.0,4,0,5,hard6,5,0.8571428571428573,140
51,51.0,9,5,0,big8,5,-3.4615384615384617,26
52,52.0,6,0,5,dontComeOdds,5,0.5281690140845077,71
53,53.0,6,0,5,hard10,5,-3.5294117647058822,34
54,54.0,9,5,0,boxcars,5,-0.36585365853658547,164
55,55.0,9,5,0,buy6,5,-0.6696428571428572,56
56,56.0,10,0,5,aceDuece,5,3.5999999999999996,50
